iter	Passed	Remaining
0	172	171967
1	182	90989
2	194	64507
3	205	51244
4	214	42607
5	224	37245
6	235	33398
7	247	30691
8	258	28426
9	267	26480
10	272	24528
11	277	22878
12	282	21476
13	286	20191
14	290	19081
15	296	18215
16	299	17344
17	303	16578
18	308	15942
19	313	15339
20	316	14774
21	321	14271
22	326	13856
23	331	13473
24	335	13079
25	338	12675
26	342	12349
27	346	12024
28	350	11730
29	354	11470
30	358	11213
31	362	10973
32	366	10753
33	371	10565
34	375	10364
35	379	10173
36	384	10012
37	387	9810
38	391	9645
39	395	9488
40	398	9325
41	403	9195
42	406	9056
43	410	8929
44	414	8801
45	419	8695
46	423	8581
47	426	8454
48	430	8356
49	434	8260
50	439	8179
51	445	8120
52	449	8034
53	451	7918
54	458	7869
55	463	7808
56	468	7756
57	472	7678
58	476	7606
59	480	7527
60	484	7455
61	491	7437
62	496	7389
63	501	7329
64	505	7269
65	508	7198
66	512	7139
67	516	7077
68	520	7017
69	526	6993
70	530	6938
71	534	6884
72	538	6837
73	543	6795
74	546	6740
75	550	6689
76	552	6627
77	558	6595
78	562	6552
79	566	6511
80	570	6475
81	575	6440
82	579	6398
83	583	6359
84	588	6339
85	592	6299
86	596	6261
87	601	6229
88	605	6200
89	610	6169
90	614	6133
91	620	6124
92	624	6090
93	628	6057
94	633	6033
95	638	6008
96	641	5974
97	645	5942
98	651	5928
99	656	5904
100	660	5876
101	665	5858
102	670	5842
103	675	5816
104	679	5795
105	685	5777
106	689	5750
107	692	5722
108	699	5720
109	703	5694
110	707	5668
111	713	5658
112	717	5632
113	721	5607
114	725	5583
115	730	5566
116	733	5536
117	737	5511
118	741	5488
119	745	5464
120	749	5441
121	752	5418
122	757	5398
123	761	5378
124	765	5356
125	768	5334
126	773	5319
127	777	5299
128	782	5280
129	785	5259
130	789	5234
131	793	5216
132	797	5196
133	801	5178
134	805	5158
135	809	5141
136	811	5113
137	815	5093
138	820	5082
139	824	5067
140	828	5048
141	832	5031
142	837	5019
143	841	5003
144	845	4985
145	849	4968
146	855	4961
147	859	4945
148	863	4929
149	868	4918
150	871	4902
151	875	4885
152	879	4869
153	885	4864
154	889	4848
155	893	4831
156	896	4815
157	901	4804
158	903	4778
159	907	4763
160	910	4747
161	916	4738
162	919	4724
163	923	4708
164	927	4694
165	932	4685
166	936	4671
167	940	4657
168	944	4646
169	949	4636
170	953	4623
171	957	4610
172	962	4602
173	966	4589
174	969	4569
175	973	4556
176	977	4546
177	981	4534
178	985	4521
179	989	4508
180	994	4499
181	998	4487
182	1002	4474
183	1006	4463
184	1011	4454
185	1016	4446
186	1020	4435
187	1025	4430
188	1030	4420
189	1034	4409
190	1038	4398
191	1042	4387
192	1046	4374
193	1049	4362
194	1053	4350
195	1059	4346
196	1063	4335
197	1067	4325
198	1073	4319
199	1077	4310
200	1082	4304
201	1087	4297
202	1091	4286
203	1095	4274
204	1099	4263
205	1103	4254
206	1107	4244
207	1111	4231
208	1114	4219
209	1120	4214
210	1124	4204
211	1126	4188
212	1130	4177
213	1135	4169
214	1139	4159
215	1142	4148
216	1146	4137
217	1151	4131
218	1155	4120
219	1158	4107
220	1162	4099
221	1167	4091
222	1171	4081
223	1175	4071
224	1179	4061
225	1184	4055
226	1187	4045
227	1192	4037
228	1196	4029
229	1200	4020
230	1205	4012
231	1209	4002
232	1213	3995
